ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
1,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0000.jpg,0,hi,benzo,0,hp,0,2524,154,82,1.009041859,0.410719792,1,0.777812018,0.718875765,59.46019723,61.29437168,26,9.203817937,8.062257748,54,54.21352579,80.3648982,210.05,0.946736684,0,0,0,0,0,154.7987322,82.22385103,1,1
1,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0000.jpg,0,hi,benzo,0,hp,0,1591,25,98,1.033773677,0.604704158,1,0.811734694,0.849761937,50.60083485,51.03920062,19.23538406,7.391905019,6.708203933,38.82287193,40.30104377,77.32440814,153.388,0.96191052,0,0,0,0,0,24.96354494,94.59208045,2,2
2,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0001.jpg,0,hi,benzo,0,hp,0,3860,156,54,1.017550965,0.508755763,1,0.802494802,0.854236736,75.70372953,75.29276194,30.2654919,11.39525389,10.12395732,64,65.17416573,0.525594772,238.292,0.968510852,0,0,0,0,0,161.0746114,55.31709845,1,1
2,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0001.jpg,0,hi,benzo,0,hp,0,1705,28,89,1.132785167,0.777097693,1,0.683092949,0.735304468,59.31577138,57.31491952,17.4642492,6.918216614,6.32455532,38.01297787,37.3321598,-51.53891788,170.7,0.930169122,0,0,0,0,0,33.48797654,83.95014663,2,2
3,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0002.jpg,0,hi,benzo,0,hp,0,2571,159,64,1.09683248,0.73727457,1,0.713374029,0.658120935,70.1515136,70.38465742,22,8.347664377,7.615773106,49.22514992,47.39388744,79.70535394,221.566,0.920845272,0,0,0,0,0,159.5562038,73.99222093,1,1
3,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0002.jpg,0,hi,benzo,0,hp,0,1673,32,87,1.030366943,0.585639591,1,0.728976035,0.827156154,51.4445501,51.66236541,19.31320792,7.429043145,6.708203933,41.33855028,41.69948971,-79.65612953,159.426,0.950298211,0,0,0,0,0,31.36580992,86.02869097,2,2
4,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0003.jpg,0,hi,benzo,0,hp,0,2850,159,77,1.027403828,0.56506707,1,0.757575758,0.633661782,66.54336631,68.70953355,26.40075756,9.473791168,8.485281374,56,54.90126984,66.96020093,237.738,0.94308405,0,0,0,0,0,159.3203509,80.35122807,1,1
4,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0003.jpg,0,hi,benzo,0,hp,0,1324,29,93,1.097284075,0.756109258,1,0.68707836,0.791971129,50.87650547,50,16.2788206,6.49410552,5.830951895,32.44996148,33.29589529,56.38483644,144.942,0.963609898,0,0,0,0,0,26.15634441,89.52870091,2,2
5,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0004.jpg,0,hi,benzo,0,hp,0,3161,162,75,1.077223779,0.723804471,1,0.739415205,0.80812672,76.56083242,75.13321503,24.59674775,9.782712895,8.94427191,52.36749632,52.82736758,79.08162641,221.706,0.954840659,0,0,0,0,0,164.3903828,86.34419488,1,1
5,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0004.jpg,0,hi,benzo,0,hp,0,1766,29,103,1.072109209,0.717768442,1,0.788392857,0.85419437,56.94964447,55.90169944,19,7.582748696,7,38.15771285,39.65300579,84.73663076,161.184,0.96004349,0,0,0,0,0,29.17440544,96.82785957,2,2
6,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0005.jpg,0,hi,benzo,0,hp,0,2618,145,69,1.006570583,0.440870646,1,0.780327869,0.891024587,60.90985727,61,27,9.758414982,8.544003745,54,54.67090025,84.12193923,192.152,0.974320804,0,0,0,0,0,144.5519481,70.66883117,1,1
6,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0005.jpg,0,hi,benzo,0,hp,0,1249,18,73,1.019201793,0.393607468,1,0.761585366,0.865041834,41.90952396,41.78516483,17.4642492,6.794165107,6.32455532,38.89601522,38.5265289,-54.60535091,134.7,0.955258126,0,0,0,0,0,19.08646918,72.23218575,2,2
7,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0006.jpg,0,hi,benzo,0,hp,0,1241,33,70,1.021086266,0.347809469,1,0.720673635,0.834535117,41.43442853,41.88078318,17.4642492,6.536076728,5.830951895,38.53846154,38.84747979,-53.65200816,136.7,0.954615385,0,0,0,0,0,33.70910556,69.10233683,1,1
7,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-hp_0006.jpg,0,hi,benzo,0,hp,0,2615,160,70,1.005851385,0.429981447,1,0.792424242,0.897723622,60.69413616,61.03277808,27.16615541,9.772626085,8.544003745,54,54.79695573,85.04355906,191.324,0.975018643,0,0,0,0,0,160.0072658,71.55181644,2,2
8,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0000.jpg,0,hi,benzo,0,none,0,1355,99,87,1.020961805,0.569015448,1,0.769886364,0.86733345,45.83227515,46.64761516,18.60107524,6.976951672,6.08276253,36.76955262,37.68910966,33.86514981,140.114,0.962016329,0,0,0,0,0,99.53948339,87.35719557,1,1
9,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0001.jpg,0,hi,benzo,0,none,0,1872,77,53,1.069939649,0.644717211,1,0.722222222,0.664773153,56.70253017,59.48108943,19.10497317,7.149300957,6.403124237,44.05439602,43.34461419,59.78657703,188.114,0.928341185,0,0,0,0,0,81.71527778,57.56143162,1,1
10,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0002.jpg,0,hi,benzo,0,none,0,1940,94,95,1.054458178,0.62522221,1,0.694593627,0.825894986,56.86053833,56.56854249,20.24845673,7.833607097,7.071067812,44.07095166,44.37662448,75.36509753,171.808,0.948887258,0,0,0,0,0,91.65103093,91.97731959,1,1
11,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0003.jpg,0,hi,benzo,0,none,0,1429,93,73,1.009387187,0.280626656,1,0.755285412,0.873796586,43.71193735,44.64302857,19.6977156,7.201284532,6.32455532,40.74923312,41.95546072,-6.651076721,143.356,0.96391231,0,0,0,0,0,93.43596921,72.05038488,1,1
12,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0004.jpg,0,hi,benzo,0,none,0,1475,91,81,1.021784022,0.541901254,1,0.761880165,0.875202929,47.40945919,47.4341649,19.10497317,7.235031653,6.403124237,38.96051762,39.84490847,-48.5805129,145.528,0.964998364,0,0,0,0,0,92.02711864,78.87118644,1,1
13,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0005.jpg,0,hi,benzo,0,none,0,1379,88,74,1.003136408,0.273720094,1,0.800813008,0.896333492,42.76665157,43.60045871,20,7.174647019,6.32455532,40,41.13336723,-34.89166018,139.044,0.965348267,0,0,0,0,0,87.8071066,74.06526468,1,1
14,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0000.jpg,0,hi,benzo,0,p1,0,1141,17,77,1.047725163,0.628048302,1,0.724444444,0.836252768,43.53991243,44.72135955,16.4924225,6.188505919,5.385164807,33.86148254,33.88164338,74.31261789,130.942,0.949646275,0,0,0,0,0,18.20946538,78.87992989,1,1
14,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0000.jpg,0,hi,benzo,0,p1,0,19634,131,69,1.025224617,0.397621731,1,0.867302765,0.824010646,166.5030707,175.6018223,71.34423593,25.92842163,23.34523506,146,152.7747979,73.53867721,547.196,0.981184878,0,0,0,0,0,136.5094224,74.01945605,2,0
15,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0001.jpg,0,hi,benzo,0,p1,0,1570,24,66,1.103922663,0.677667493,1,0.696539485,0.731269748,53.49376801,54.64430437,17.72004515,6.598645066,5.830951895,40.82706596,39.33762969,61.95781435,164.254,0.909354185,0,0,0,0,0,26.40191083,71.71401274,1,4
