ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,MembraneStatus,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
1,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0000.jpg,0,none,hp,benzo,0,p1,0,11611,204,29,1.034398795,0.495803218,1,0.866040128,0.840966266,131.813023,137.3608387,82,32.66591111,30.41381265,108,114.471029,79.46823847,416.534,0.992732558,0,0,0,0,0,155.087331,57.76685901,1,0
1,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0000.jpg,0,none,hp,benzo,0,p1,0,526,22,111,1.034729509,0.605809736,1,0.722527473,0.852080139,29.16454282,28.46049894,11.18033989,4.399289125,4,21.91346618,23.20358894,-25.36780833,88.076,0.946894689,0,0,0,0,0,20.95247148,111.1520913,2,0
2,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0001.jpg,0,none,hp,benzo,1,p1,0,13548,145,59,1.028110549,0.457609469,1,0.847703667,0.880258347,140.4920969,145.9109317,58.05170109,21.25158518,19.10497317,121,124.9190102,60.86790567,439.782,0.990350877,0,0,0,0,0,147.474904,60.46693239,1,0
2,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0001.jpg,0,none,hp,benzo,1,p1,0,513,21,126,1.121949804,0.758987087,1,0.636476427,0.740280627,32.11256031,32.20248438,10.04987562,4.038102256,3.605551275,21.07860746,20.9086703,53.05545836,93.318,0.917710197,0,0,0,0,0,19.38791423,125.7777778,2,0
3,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0002.jpg,0,none,hp,benzo,2,p1,0,10951,151,52,1.015544862,0.454995191,1,0.808072609,0.848679131,125.4638548,126.4001582,52.77309921,19.39028791,17.20465053,111,111.7247967,68.54680301,402.68,0.981360337,0,0,0,0,0,151.9166286,58.10145192,1,1
3,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0002.jpg,0,none,hp,benzo,2,p1,0,1111,17,130,1.050013429,0.652716882,1,0.749662618,0.841547646,43.44124911,44.04543109,16.1245155,6.151687185,5.385164807,33.78330172,32.91117382,47.07964588,128.802,0.959827214,0,0,0,0,0,18.090009,130.7065707,2,2
4,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0003.jpg,0,none,hp,benzo,3,p1,0,7105,160,64,1.007133733,0.417690755,1,0.797418631,0.853846623,99.75764149,99.36297097,43.28972164,15.70313728,14,89,90.6387211,89.0850661,323.368,0.977572922,0,0,0,0,0,159.5581985,58.89261084,1,1
4,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0003.jpg,0,none,hp,benzo,3,p1,0,548,25,131,1.061493809,0.694532795,1,0.76858345,0.820871803,31.27138969,30.8058436,11.40175425,4.420588486,4,22,22.49854675,-13.1185168,91.592,0.945642796,0,0,0,0,0,25.41970803,130.7281022,2,0
5,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0004.jpg,0,none,hp,benzo,4,p1,0,1177,22,138,1.01551695,0.512308192,1,0.815661816,0.854552201,41.85075024,42.72001873,17.80449381,7.045478893,6.403124237,36,35.9414944,-36.8180804,131.56,0.962781186,0,0,0,0,0,22.97790994,135.6610025,1,1
5,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0004.jpg,0,none,hp,benzo,4,p1,0,11955,148,57,1.020149444,0.14133035,1,0.837184874,0.866147784,125.0218791,135.4289482,56,20.59151108,19,118,123.7669708,89.0433401,416.47,0.987037649,0,0,0,0,0,149.0851527,54.91961522,2,0
6,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0005.jpg,0,none,hp,benzo,5,p1,0,10823,144,55,1.004194809,0.332771361,1,0.797568165,0.889655319,120.8289092,125.5388386,55.22680509,19.4378088,17.02938637,113.3797376,113.9425725,66.08969211,390.992,0.98136646,0,0,0,0,0,145.4683544,57.19634113,1,0
6,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_0005.jpg,0,none,hp,benzo,5,p1,0,524,23,128,1.083670171,0.729721242,1,0.693121693,0.780789831,31.42072332,31.2409987,10.04987562,4.220125823,3.802775638,20.77111033,21.48375521,-50.46824659,91.834,0.929078014,0,0,0,0,0,19.7480916,131.6812977,2,0
7,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0000.jpg,0,membrane,hp,benzo,0,p1,0,7191,162,53,1.018537368,0.274668622,1,0.74164604,0.82552765,98.29438251,104.6756896,41.76122604,15.14205561,13.45362405,94.23587427,94.51387714,87.03402301,330.852,0.95771459,0,0,0,0,0,160.0474204,51.82547629,1,0
7,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0000.jpg,0,membrane,hp,benzo,0,p1,0,628,21,114,1.045986019,0.659739952,1,0.700892857,0.867325313,32.72034372,32.69556545,12.16552506,4.760301994,4.182873156,24.14953416,24.58914121,63.56170752,95.388,0.951515152,0,0,0,0,0,20.73407643,114.1321656,2,0
8,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0001.jpg,0,membrane,hp,benzo,1,p1,0,10059,156,59,1.034773827,0.395846117,1,0.760662432,0.829933391,119.7135182,126.0515767,51.03920062,19.90366977,18.38477631,109.1264317,109.9349419,-57.05498937,390.266,0.977693541,0,0,0,0,0,155.5523412,55.75424993,1,0
9,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0002.jpg,0,membrane,hp,benzo,2,p1,0,497,21,130,1.008466831,0.296881893,1,0.796474359,0.869247334,25.87006907,26.2488095,11.66190379,4.384673172,4,23,24.70369647,79.67004567,84.764,0.954851105,0,0,0,0,0,20.65392354,130.3641851,1,0
10,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0003.jpg,0,membrane,hp,benzo,3,p1,0,5369,162,38,1.013331151,0.461046544,1,0.770743612,0.867274169,87.9196375,89.64373932,38,13.63984183,12.04159458,77.59184482,78.01777224,62.75120254,278.916,0.978672986,0,0,0,0,0,161.5740361,40.17992177,1,0
10,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/benzo_hp-p1_mbrn0003.jpg,0,membrane,hp,benzo,3,p1,0,187,28,129,1.051055199,0.670653506,1,0.742063492,0.8224766,18.0300867,17.69180601,6.403124237,2.768275308,2.236067977,12.96919427,13.37419129,-66.29509245,53.452,0.925742574,0,0,0,0,0,27.2513369,129.540107,2,0
